MESE,ANNO,ACCESSI_UNICI,ACCESSI_TOTALI
12,2025,67100,189050
11,2025,81871,287434
10,2025,85716,324219
9,2025,81226,300423
8,2025,41958,103840
7,2025,80437,292983
6,2025,77307,264079
5,2025,79457,278988
4,2025,76497,254669
3,2025,81323,289382
2,2025,78432,294080
1,2025,76348,261456
12,2024,66567,192541
11,2024,74057,243749
10,2024,76986,277916
9,2024,70559,238900
8,2024,36334,88757
7,2024,69250,239896
6,2024,66740,212197
5,2024,69407,238605
4,2024,64355,215713
3,2024,64354,225588
2,2024,62659,213681
1,2024,56984,196297
12,2023,29158,61232